"MetingId";"Land";"Element";"Sensor";"Waarde"
1;"Nederland";"Temperatuur";1;2.34
2;"Nederland";"Temperatuur";2;42.42
1;"Nederland";"Humidity";2;20.86883594590611
2;"Nederland";"Humidity";2;20.095456766342696
3;"Nederland";"Humidity";3;20.27057764337424
4;"Nederland";"Humidity";4;20.460934754186773
5;"Nederland";"Humidity";3;20.215321180620254
6;"Nederland";"Humidity";2;20.960604806088934
7;"Nederland";"Humidity";1;20.975464877372527
8;"Nederland";"Humidity";1;20.209931454387537
9;"Nederland";"Humidity";3;20.798480361176505
10;"Nederland";"Humidity";1;20.796487381771918
11;"Nederland";"Humidity";1;20.874935492430094
12;"Nederland";"Humidity";1;20.015217398564307
13;"Nederland";"Humidity";1;20.471800219347777
14;"Nederland";"Humidity";4;20.569623501184463
15;"Nederland";"Humidity";1;20.038216196660255
16;"Nederland";"Humidity";1;20.83194624243207
17;"Nederland";"Humidity";1;20.16386814087905
18;"Nederland";"Humidity";4;20.649164079044017
19;"Nederland";"Humidity";2;20.301126851120568
20;"Nederland";"Humidity";2;20.620053607018686
21;"Nederland";"Humidity";1;20.523164686759507
22;"Nederland";"Humidity";3;20.44171354333228
23;"Nederland";"Humidity";4;20.629422124364915
24;"Nederland";"Humidity";2;20.437196008512476
25;"Nederland";"Humidity";4;20.279102170106476
26;"Nederland";"Humidity";3;20.996958813298775
27;"Nederland";"Humidity";3;20.0940803650907
28;"Nederland";"Humidity";3;20.26180357428829
29;"Nederland";"Humidity";4;20.528773879217933
30;"Nederland";"Humidity";4;20.670245866600514
31;"Nederland";"Humidity";2;20.527243104525304
32;"Nederland";"Humidity";2;20.920807434763482
33;"Nederland";"Humidity";1;20.12684031420568
34;"Nederland";"Humidity";4;20.249586736275063
35;"Nederland";"Humidity";2;20.220451068835384
36;"Nederland";"Humidity";2;20.76561568169256
37;"Nederland";"Humidity";4;20.73495638394207
38;"Nederland";"Humidity";1;20.894418672203102
39;"Nederland";"Humidity";2;20.193877306091498
40;"Nederland";"Humidity";3;20.369744144752186
41;"Nederland";"Humidity";3;20.246598857798777
42;"Nederland";"Humidity";3;20.680812230882616
43;"Nederland";"Humidity";3;20.279784778018904
44;"Nederland";"Humidity";1;20.954278860915018
45;"Nederland";"Humidity";2;20.540681670243412
46;"Nederland";"Humidity";2;20.535910661749206
47;"Nederland";"Humidity";3;20.585033937367967
48;"Nederland";"Humidity";3;20.114292250086773
49;"Nederland";"Humidity";1;20.13633124233882
50;"Nederland";"Humidity";3;20.349673414078556
51;"Nederland";"Humidity";1;20.941563462749524
52;"Nederland";"Humidity";3;20.548850102634002
53;"Nederland";"Humidity";4;20.81279478393495
54;"Nederland";"Humidity";1;20.50689035693459
55;"Nederland";"Humidity";4;20.062433269424343
56;"Nederland";"Humidity";3;20.2504721328899
57;"Nederland";"Humidity";1;20.744397538281852
58;"Nederland";"Humidity";4;20.94875375887543
59;"Nederland";"Humidity";3;20.24483607327022
60;"Nederland";"Humidity";3;20.25028796510284
61;"Nederland";"Humidity";4;20.252578765398454
62;"Nederland";"Humidity";4;20.896787761069938
63;"Nederland";"Humidity";1;20.95501988238646
64;"Nederland";"Humidity";2;20.769380331413906
65;"Nederland";"Humidity";3;20.37933582730359
66;"Nederland";"Humidity";3;20.939160598156917
67;"Nederland";"Humidity";3;20.53960882413169
68;"Nederland";"Humidity";4;20.089593723124896
69;"Nederland";"Humidity";3;20.17025498854114
70;"Nederland";"Humidity";1;20.710649848263994
71;"Nederland";"Humidity";1;20.706514512628367
72;"Nederland";"Humidity";2;20.335605126739175
73;"Nederland";"Humidity";4;20.085246043391464
74;"Nederland";"Humidity";3;20.863120967369547
75;"Nederland";"Humidity";3;20.68420154912388
76;"Nederland";"Humidity";2;20.940299485178876
77;"Nederland";"Humidity";1;20.816360779106674
78;"Nederland";"Humidity";4;20.89608791755918
79;"Nederland";"Humidity";4;20.234032663601297
80;"Nederland";"Humidity";2;20.81301141614948
81;"Nederland";"Humidity";1;20.75843717246736
82;"Nederland";"Humidity";1;20.1816226798043
83;"Nederland";"Humidity";2;20.024383203793988
84;"Nederland";"Humidity";3;20.168750922892016
85;"Nederland";"Humidity";2;20.664054957695114
86;"Nederland";"Humidity";3;20.477479189126104
87;"Nederland";"Humidity";2;20.81714807020869
88;"Nederland";"Humidity";3;20.873141637472724
89;"Nederland";"Humidity";2;20.944173918735984
90;"Nederland";"Humidity";4;20.547668878158937
91;"Nederland";"Humidity";4;20.48043466334288
92;"Nederland";"Humidity";4;20.812390067067216
93;"Nederland";"Humidity";3;20.129775943571776
94;"Nederland";"Humidity";2;20.083916780471547
95;"Nederland";"Humidity";2;20.853319437059536
96;"Nederland";"Humidity";4;20.02084564194925
97;"Nederland";"Humidity";3;20.625038990995257
98;"Nederland";"Humidity";4;20.290330914939062
